C180	myek
C179	abye
C178	tyek
C177	aby
C176	betwynde
C175	reacidify
C174	labefy
C173	deeky
C172	photoidentify
C171	forebusy
C170	colloquy
C169	prepay
C168	torive
C167	cum
C166	precum
C165	haue
C164	uppluck
C163	bless
C162	hould
C161	clothe
C160	hote
C159	inwork
C158	doe
C157	slingshoot
C156	git
C155	thinke
C154	thinck
C153	foryield
C152	bide
C151	swike
C150	shrinke
C149	benim
C148	bespit
C147	undergoe
C146	besprenge
C145	midwife
C144	half
C143	abegge
C142	seech
C141	awreak
C140	sweare
C139	forweep
C138	swallie
C137	unhelp
C136	de
C135	shoe
C134	atren
C133	bede
C132	shende
C131	leaue
C130	standoff
C129	forlat
C128	pisstake
C127	gar
C126	fix
C125	chor
C124	channel
C123	bivouac
C122	submodify
C121	sync
C120	veg
C119	stog
C118	overfreight
C117	shear
C116	surbeat
C115	ennui
C114	braai
C113	caut
C112	dunsh
C111	herye
C110	radge
C109	dare
C108	have,mishave
C107	hav,hev
C106	assrun,moonrun
C105	blowe,growe
C104	downstrike,thunderstrike
C103	forswing,forswink
C102	tread,untread
C101	forhele,misbede
C100	foreslay,slay
C099	forshape,wayfare
C098	luv,wuv
C097	lade,unlade
C096	get,reget,unget
C095	beflee,flee,outflee
C094	reswell,swell,unswell
C093	bestead,sidecast,slivercast
C092	downtrod,forbid,misbid
C091	dig,redig,underdig,undig
C090	atrin,begin,rebegin,rin
C089	deek,larn,mak,stott
C088	aks,gozz,rendevous,rendezvous
C087	choose,forechoose,mischoose,rechoose,unchoose
C086	bedwell,dwell,foresmell,misspell,outdwell
C085	outswim,overnim,overswim,swim,upswim
C084	betread,downtread,fortread,overtread,totread
C083	beclepe,forthclepe,kape,lose,unlose
C082	awake,forcarve,reawake,rewake,wake
C081	befly,fly,outfly,overfly,refly,upfly
C080	bewin,electrowin,outwin,overwin,rewin,win
C079	besteal,forsteal,overheal,steal,unsteal,upsteal
C078	autohide,backslide,hide,hyde,rehide,unhide
C077	chiv,improv,nav,overrev,rev,shiv
C076	beat,browbeat,forbeat,inbeat,overbeat,tobeat
C075	befreeze,defreeze,enfreeze,freeze,prefreeze,refreeze,unfreeze
C074	eat,miseat,outeat,overeat,sleepeat,undereat,uneat
C073	degas,gas,outgas,res,surplus,teargas,yes
C072	belie,forelie,forlie,lie,mislie,overlie,superlie,underlie
C071	flashlight,floodlight,greenlight,light,overlight,prelight,redlight,twilight
C070	beget,forget,misbeget,misget,overget,rebeget,underget,unforget
C069	beleave,cleave,dreave,forleave,leave,miscleave,overleave,toreave
C068	behang,cliffhang,hang,overhang,straphang,underhang,unhang,uphang
C067	bauf,chef,coif,crossref,indef,ref,rif,smof
C066	frac,proc,rec,respec,sic,spec,tic,twoc
C065	abuy,buy,forbuy,forebuy,outbuy,overbuy,prebuy,rebuy,underbuy
C064	becatch,bycatch,catch,flycatch,miscatch,outcatch,overcatch,recatch,uncatch
C063	airstrike,awestrike,counterstrike,misstrike,outstrike,overstrike,restrike,strike,unstrike
C062	beseek,foreseek,forseek,misseek,outseek,reseek,seek,underseek,upseek
C061	bring,forebring,forthbring,fullbring,imbring,inbring,interbring,outbring,underbring,upbring
C060	backspin,bespin,biospin,outspin,overspin,respin,spin,tailspin,topspin,unspin
C059	abide,backshine,beshine,bestride,intershine,outshine,overshine,overstride,shine,updive
C058	enweave,forcleave,interweave,inweave,overheave,reweave,steale,tocleave,unweave,weave
C057	buz,fiz,friz,poz,quiz,requiz,rez,spaz,squiz,whiz
C056	bus,debus,dis,embus,nonplus,nonpros,octopus,offgas,pus,regas
C055	beteach,coteach,foreteach,forteach,microteach,misteach,overteach,reteach,teach,underteach,unteach
C054	atrede,bechide,berede,betide,chide,landslide,outslide,overslide,rede,slide,slite
C053	autorun,forerun,freerun,jayrun,outrun,overrun,prerun,rerun,showrun,speedrun,underrun,uprun
